,Fase,IPS
0,0,7.00578947368421
1,1,7.0843750000000005
2,2,6.821290322580645
3,3,6.722297297297297
4,4,6.614473684210526
5,5,6.863333333333333
6,6,7.961111111111112
7,7,6.523809523809524
