Indicador,Pearson,Spearman
IDA,0.6166199584619755,0.6237652233536596
IEG,0.5891779240401495,0.5403337196287981
IAA,0.25558999396191834,0.24464475045155087
IPS,0.208390678748229,0.1899288487725274
IAN,0.11109468998080799,0.12842830759013174
