Idade 22,count,mean,median
7,14,6.607142857142857,6.65
8,57,7.291228070175439,7.4
9,96,7.216666666666666,7.3
10,116,6.39051724137931,6.8
11,102,6.560784313725491,6.85
12,107,5.757009345794392,5.8
13,100,5.745,6.05
14,85,5.0858823529411765,5.3
15,63,5.634920634920635,5.6
16,52,5.3538461538461535,5.85
17,48,5.6187499999999995,5.85
18,12,4.741666666666666,4.4
19,5,6.459999999999999,7.8
20,2,4.7,4.7
21,1,4.0,4.0
