Fase,count,mean,median
0,190,7.14,7.3
1,192,6.4640625,6.8
2,155,5.406451612903226,5.5
3,148,5.141891891891892,5.2
4,76,6.052631578947368,6.1
5,60,5.873333333333333,6.55
6,18,6.694444444444445,6.85
7,21,5.252380952380952,5.0
