Ano ingresso,count,mean,median
2016,29,7.806896551724138,8.0
2017,40,7.38,8.149999999999999
2018,67,7.570149253731343,8.2
2019,139,7.679856115107913,8.1
2020,48,8.168750000000001,8.7
2021,138,7.858695652173913,8.2
2022,399,8.053884711779448,8.5
