Idade 22,count,mean,median
7,14,8.05,7.9
8,57,8.105263157894736,8.6
9,96,8.589583333333334,8.9
10,116,8.34396551724138,8.8
11,102,8.42156862745098,8.8
12,107,8.257009345794392,8.6
13,100,7.751,8.2
14,85,7.316470588235294,7.4
15,63,7.219047619047619,7.5
16,52,6.561538461538461,6.699999999999999
17,48,6.935416666666666,7.45
18,12,7.2749999999999995,7.9
19,5,8.120000000000001,8.7
20,2,7.3,7.3
21,1,8.3,8.3
