Fase,count,mean,median
0,190,8.088947368421053,8.5
1,192,8.522395833333333,8.9
2,155,8.165806451612903,8.5
3,148,7.068243243243242,7.35
4,76,7.6605263157894745,8.0
5,60,7.343333333333334,7.6
6,18,7.027777777777778,7.5
7,21,7.242857142857143,8.3
